gene_id,gene_id,Ind1,Ind2,Ind3,Ind4,Ind5,Ind6,Ind7,Ind8,Ind9,Ind10,Ind11,Ind12,Ind13,Ind14,Ind15,Ind16,Ind17,Ind18,Ind19,Ind20,Ind21,Ind22,Ind23,Ind24,Ind25,Ind26,Ind27,Ind28,Ind29,Ind30,Ind31,Ind32,Ind33,Ind34,Ind35,Ind36,Ind37,Ind38,Ind39,Ind40,Ind41,Ind42,Ind43,Ind44,Ind45,Ind46,Ind47,Ind48,Ind49,Ind50,Ind51,Ind52,Ind53,Ind54,Ind55,Ind56,Ind57,Ind58,Ind59,Ind60,Ind61,Ind62,Ind63,Ind64,Ind65,Ind66,Ind67,Ind68,Ind69,Ind70,Ind71,Ind72,Ind73,Ind74,Ind75,Ind76,Ind77,Ind78,Ind79,Ind80,Ind81,Ind82,Ind83,Ind84,Ind85,Ind86,Ind87,Ind88,Ind89,Ind90,Ind91,Ind92,Ind93,Ind94,Ind95,Ind96,Ind97,Ind98,Ind99,Ind100
Gene000,0,1,2,2,2,1,2,1,2,0,2,0,1,2,0,1,0,1,0,2,1,1,0,0,2,2,0,0,1,1,2,0,0,0,1,1,0,1,0,2,1,2,2,0,0,1,0,0,1,0,2,0,1,2,0,2,1,0,2,2,2,0,1,2,1,0,0,1,0,2,1,2,1,1,1,0,2,2,1,1,0,1,0,2,0,0,1,2,2,2,1,2,2,0,0,1,1,2,2,1,
Gene001,1,2,0,2,2,2,1,1,0,0,1,1,2,1,0,0,1,0,2,1,2,2,0,1,1,2,0,0,1,1,2,1,0,0,2,0,2,0,0,0,1,0,0,1,1,1,0,1,2,1,0,1,2,2,0,0,0,2,0,2,0,0,2,1,2,2,1,1,0,0,2,2,2,1,2,1,1,2,1,1,1,1,2,0,0,2,0,2,2,0,0,2,2,1,1,0,1,2,2,0,
Gene002,0,0,0,0,2,1,1,1,1,2,1,1,2,1,2,1,0,1,1,2,1,2,1,0,0,1,0,1,1,2,2,0,2,0,2,0,1,1,2,1,2,2,1,2,0,2,0,2,2,0,0,0,1,0,0,1,1,1,0,0,2,1,0,2,1,2,2,2,1,0,2,1,2,2,1,2,1,2,2,1,0,2,2,0,1,0,0,0,0,0,2,1,0,0,0,2,0,2,1,0,
Gene003,1,2,2,2,2,2,2,0,0,2,2,0,2,0,0,0,1,1,2,0,2,1,0,1,2,1,1,1,0,1,0,2,2,0,0,0,2,1,1,0,1,2,1,0,1,0,2,0,2,2,0,2,1,1,1,2,0,0,1,2,2,1,2,0,0,0,2,2,1,2,1,2,1,0,0,1,0,2,2,0,0,1,0,0,1,1,1,2,0,2,1,1,0,1,0,1,1,0,2,1,
Gene004,1,2,1,1,1,1,2,1,1,0,2,0,1,1,1,1,0,0,0,0,1,0,0,0,2,0,2,0,2,2,2,0,2,2,0,1,0,2,0,2,0,1,0,1,1,0,0,0,2,1,0,0,2,2,1,1,2,2,2,2,0,0,2,1,0,1,0,2,2,1,2,2,1,0,1,2,1,1,2,1,0,2,2,0,2,1,2,0,0,1,1,0,1,2,2,1,1,0,2,0,
Gene005,1,2,1,0,0,2,0,1,0,2,1,2,2,0,2,2,2,1,1,2,2,2,2,0,0,0,1,1,1,1,0,2,1,1,1,1,2,0,0,2,2,2,1,1,2,1,0,0,1,0,2,0,0,1,1,0,2,1,2,2,0,2,2,2,2,0,1,1,1,1,1,0,0,0,1,0,1,2,2,0,0,0,0,0,0,1,0,0,2,2,1,2,1,0,2,1,1,2,0,0,
Gene006,2,1,2,1,2,2,2,2,0,2,2,0,2,0,1,2,1,2,2,2,0,1,0,0,0,0,1,2,0,1,2,0,1,0,1,1,2,2,0,2,1,1,0,2,1,2,0,2,1,2,1,0,1,1,0,1,2,2,2,0,0,1,0,2,0,0,0,2,2,1,0,0,0,1,2,2,1,2,1,0,1,1,0,0,1,1,1,1,0,0,2,1,0,0,0,1,1,2,0,1,
Gene007,0,0,0,1,2,1,0,1,2,0,1,0,1,2,2,2,0,0,1,2,2,1,1,1,2,2,0,1,0,0,0,0,0,2,1,1,2,0,2,1,1,0,1,1,0,2,0,0,1,1,2,1,1,2,2,1,0,2,2,2,2,1,2,2,0,1,0,2,1,1,1,0,2,0,2,1,2,2,0,0,2,0,1,1,0,2,1,2,2,1,0,1,0,0,2,0,1,2,0,0,
Gene008,2,2,0,2,2,2,1,2,0,2,0,0,0,1,2,1,1,1,1,0,2,2,2,1,2,1,0,0,1,2,0,2,0,1,0,1,2,0,2,0,0,1,0,1,1,2,1,1,1,0,1,2,2,0,0,1,0,0,1,0,0,1,2,0,1,0,1,1,1,2,2,2,2,2,0,1,2,1,1,0,1,2,2,2,0,1,2,1,0,0,2,0,0,2,2,0,1,1,0,0,
Gene009,1,2,1,0,0,1,0,1,0,2,0,0,1,0,0,2,0,2,2,1,2,1,2,2,0,2,2,1,0,2,0,0,0,2,1,1,2,0,1,2,0,0,0,1,1,2,1,1,0,1,2,2,1,2,2,1,2,0,0,1,1,2,2,0,1,2,1,2,1,1,2,1,2,0,1,2,1,2,2,1,2,2,1,0,0,0,0,1,0,1,1,1,2,0,0,0,0,2,0,0,
